transaction_id,time_since_last_min,amount_usd,new_location,card_not_present,fraud
T001,7,144.74,1,1,1
T002,160,69.58,1,0,0
T003,223,33.7,1,0,0
T004,351,65.69,0,0,0
T005,308,30.18,0,1,0
T006,24,96.46,1,1,1
T007,21,144.76,0,1,1
T008,16,96.6,0,1,1
T009,64,162.22,1,1,0
T010,448,37.82,0,1,0
T011,45,130.64,0,0,0
T012,129,30.76,0,1,0
T013,88,125.2,1,0,0
T014,256,45.8,0,1,0
T015,92,56.45,1,1,0
T016,61,120.21,1,0,0
T017,363,42.29,0,1,0
T018,346,51.64,0,0,0
T019,155,44.38,0,1,0
T020,6,116.43,0,1,1
T021,32,255.95,1,1,1
T022,12,48.46,1,1,0
T023,258,42.76,0,1,0
T024,6,99.06,1,1,0
T025,47,73.28,0,0,0
T026,151,22.27,0,0,0
T027,277,80.68,0,0,0
T028,84,94.17,0,0,1
T029,724,58.77,0,0,0
T030,65,57.14,0,1,0
T031,178,32.29,0,1,0
T032,39,85.93,0,1,0
T033,148,113.49,1,0,1
T034,215,61.09,0,0,0
T035,3,174.91,1,1,1
T036,111,58.33,0,1,0
T037,61,104.13,0,0,0
T038,67,92.78,0,1,0
T039,184,116.12,0,0,0
T040,141,73.5,0,0,0
