date,store_id,mall_location,weekday,week_of_year,promotion,scheduled_pt_hours,punch_pt_hours,sales
2024-01-01,Yorkdale,Yorkdale Shopping Centre,Monday,1,0,93.75,94.25,21631.51
2024-01-02,Yorkdale,Yorkdale Shopping Centre,Tuesday,1,0,93.75,93.25,20282.18
2024-01-03,Yorkdale,Yorkdale Shopping Centre,Wednesday,1,0,95.75,96.50,20812.77
2024-01-04,Yorkdale,Yorkdale Shopping Centre,Thursday,1,0,102.25,102.25,21462.33
2024-01-05,Yorkdale,Yorkdale Shopping Centre,Friday,1,0,98.25,100.25,23395.32
2024-01-06,Yorkdale,Yorkdale Shopping Centre,Saturday,1,0,111.00,112.00,25770.66
2024-01-07,Yorkdale,Yorkdale Shopping Centre,Sunday,1,0,101.00,102.25,23691.84
2024-01-08,Yorkdale,Yorkdale Shopping Centre,Monday,2,0,89.50,90.75,19605.40
2024-01-09,Yorkdale,Yorkdale Shopping Centre,Tuesday,2,0,95.75,95.50,21355.27
2024-01-10,Yorkdale,Yorkdale Shopping Centre,Wednesday,2,0,98.00,97.25,21149.49
2024-01-11,Yorkdale,Yorkdale Shopping Centre,Thursday,2,0,100.50,102.25,21212.86
2024-01-12,Yorkdale,Yorkdale Shopping Centre,Friday,2,0,108.00,108.75,25118.88
2024-01-13,Yorkdale,Yorkdale Shopping Centre,Saturday,2,0,106.00,105.00,22847.95
2024-01-14,Yorkdale,Yorkdale Shopping Centre,Sunday,2,0,107.50,107.25,25104.49
2024-01-15,Yorkdale,Yorkdale Shopping Centre,Monday,3,0,91.50,90.75,23338.19
2024-01-16,Yorkdale,Yorkdale Shopping Centre,Tuesday,3,0,93.25,93.25,21934.70
2024-01-17,Yorkdale,Yorkdale Shopping Centre,Wednesday,3,0,101.75,102.75,20361.94
2024-01-18,Yorkdale,Yorkdale Shopping Centre,Thursday,3,0,97.75,98.25,23317.12
2024-01-19,Yorkdale,Yorkdale Shopping Centre,Friday,3,0,97.50,97.00,20488.29
2024-01-20,Yorkdale,Yorkdale Shopping Centre,Saturday,3,0,110.50,113.25,28536.78
2024-01-21,Yorkdale,Yorkdale Shopping Centre,Sunday,3,1,119.00,118.00,31051.85
2024-01-22,Yorkdale,Yorkdale Shopping Centre,Monday,4,0,96.75,93.75,21307.70
2024-01-23,Yorkdale,Yorkdale Shopping Centre,Tuesday,4,0,100.00,101.25,21538.16
2024-01-24,Yorkdale,Yorkdale Shopping Centre,Wednesday,4,0,102.00,101.50,19972.61
2024-01-25,Yorkdale,Yorkdale Shopping Centre,Thursday,4,0,96.50,96.50,18363.04
2024-01-26,Yorkdale,Yorkdale Shopping Centre,Friday,4,0,103.75,105.50,26605.19
2024-01-27,Yorkdale,Yorkdale Shopping Centre,Saturday,4,0,114.25,114.75,30476.84
